last_name,img,first_name,party_short_name,icpsr,state,lis_member_id,bioguide_id,state_abbrev,seo_name,member_full,name,party_code
Stabenow,029732.jpg,Debbie,Democrat,29732,MI,S284,S000770,MI,deborah-ann-stabenow,Stabenow (D-MI),"STABENOW, Deborah Ann",100
Sullivan,041500.jpg,Dan,Republican,41500,AK,S383,S001198,AK,daniel-scott-sullivan,Sullivan (R-AK),"SULLIVAN, Daniel Scott",200
Tester,040702.jpg,Jon,Democrat,40702,MT,S314,T000464,MT,jon-tester,Tester (D-MT),"TESTER, Jon",100
Thune,029754.jpg,John,Republican,29754,SD,S303,T000250,SD,john-thune,Thune (R-SD),"THUNE, John",200
Tillis,041504.jpg,Thomas,Republican,41504,NC,S384,T000476,NC,thomas-roland-thom-tillis,Tillis (R-NC),"TILLIS, Thomas Roland (Thom)",200
Toomey,029935.jpg,Patrick,Republican,29935,PA,S351,T000461,PA,patrick-joseph-toomey,Toomey (R-PA),"TOOMEY, Patrick Joseph",200
Tuberville,042102.jpg,Tommy,Republican,42102,AL,S412,T000278,AL,thomas-hawley-tommy-tuberville,Tuberville (R-AL),"TUBERVILLE, Thomas Hawley (Tommy)",200
Van Hollen,020330.jpg,Chris,Democrat,20330,MD,S390,V000128,MD,christopher-van-hollen,Van Hollen (D-MD),"VAN HOLLEN, Christopher",100
Warner,040909.jpg,Mark,Democrat,40909,VA,S327,W000805,VA,mark-warner,Warner (D-VA),"WARNER, Mark",100
Warnock,042105.jpg,Raphael,Democrat,42105,GA,S415,W000790,GA,raphael-gamaliel-warnock,Warnock (D-GA),"WARNOCK, Raphael Gamaliel",100
Warren,041301.jpg,Elizabeth,Democrat,41301,MA,S366,W000817,MA,elizabeth-warren,Warren (D-MA),"WARREN, Elizabeth",100
Whitehouse,040704.jpg,Sheldon,Democrat,40704,RI,S316,W000802,RI,sheldon-whitehouse,Whitehouse (D-RI),"WHITEHOUSE, Sheldon",100
Wicker,029534.jpg,Roger,Republican,29534,MS,S318,W000437,MS,roger-f-wicker,Wicker (R-MS),"WICKER, Roger F.",200
Wyden,014871.jpg,Ron,Democrat,14871,OR,S247,W000779,OR,ronald-lee-wyden,Wyden (D-OR),"WYDEN, Ronald Lee",100
Young,021133.jpg,Todd,Republican,21133,IN,S391,Y000064,IN,todd-young,Young (R-IN),"YOUNG, Todd",200
,099913.jpg,,Democrat,99913,,,,USA,joseph-robinette-biden-jr,,"BIDEN, Joseph Robinette, Jr.",100
Harris,041701.jpg,Kamala,Democrat,41701,CA,S387,H001075,CA,kamala-devi-harris,Harris (D-CA),"HARRIS, Kamala Devi",100
,099912.jpg,,Republican,99912,,,,USA,donald-john-trump,,"TRUMP, Donald John",200
